DATE,QTY
,
2020-8-25,786.17
2020-8-26,784.44
2020-8-27,786.91
2020-8-28,784.27
2020-8-31,779.92
2020-9-1,776.46
2020-9-2,770.59
2020-9-3,771.45
2020-9-4,773.71
2020-9-7,773.76
2020-9-8,773.24
2020-9-9,776.65
2020-9-10,767.87
2020-9-11,764.99
2020-9-14,768.34
2020-9-15,767.01
2020-9-16,760.01
2020-9-17,761.54
2020-9-21,764.34
2020-9-22,772.83
2020-9-23,773.4
2020-9-24,781.44
2020-9-25,788.02
2020-9-28,787.15
2020-9-29,784.19
2020-9-30,784.46
2020-10-1,788.15
2020-10-2,785.04
2020-10-5,790.81
2020-10-6,794.34
2020-10-7,797.35
